T,Q
1.0,16.400855
2.0,38.733599
3.0,64.137046
4.0,91.934926
5.0,121.89727
6.0,153.87152
7.0,187.72617
8.0,223.35022
9.0,260.65669
10.0,299.58196
11.0,340.08186
12.0,382.12674
13.0,425.69666
14.0,470.77744
15.0,517.35776
16.0,565.42709
17.0,614.97438
18.0,665.98735
19.0,718.45211
20.0,772.35309
21.0,827.67313
22.0,884.39364
23.0,942.49485
24.0,1001.9561
25.0,1062.7559
26.0,1124.8725
27.0,1188.2838
28.0,1252.9677
29.0,1318.9021
30.0,1386.0654
31.0,1454.4361
32.0,1523.9933
33.0,1594.7165
34.0,1666.586
35.0,1739.5826
36.0,1813.6878
37.0,1888.8838
38.0,1965.1534
39.0,2042.4804
40.0,2120.8491
41.0,2200.2446
42.0,2280.6526
43.0,2362.0598
44.0,2444.4533
45.0,2527.8211
46.0,2612.1519
47.0,2697.435
48.0,2783.6605
49.0,2870.8189
50.0,2958.9016
51.0,3047.9006
52.0,3137.8085
53.0,3228.6184
54.0,3320.3243
55.0,3412.9204
56.0,3506.4019
57.0,3600.7642
58.0,3696.0034
59.0,3792.1162
60.0,3889.0997
61.0,3986.9517
62.0,4085.6703
63.0,4185.2543
64.0,4285.7027
65.0,4387.0151
66.0,4489.1918
67.0,4592.2331
68.0,4696.14
69.0,4800.9139
70.0,4906.5564
71.0,5013.0699
72.0,5120.4566
73.0,5228.7196
74.0,5337.8621
75.0,5447.8877
76.0,5558.8002
77.0,5670.6038
78.0,5783.3032
79.0,5896.9032
80.0,6011.4088
81.0,6126.8256
82.0,6243.159
83.0,6360.4152
84.0,6478.6002
85.0,6597.7205
86.0,6717.7828
87.0,6838.7939
88.0,6960.761
89.0,7083.6913
90.0,7207.5924
91.0,7332.472
92.0,7458.338
93.0,7585.1985
94.0,7713.0618
95.0,7841.9363
96.0,7971.8307
97.0,8102.7537
98.0,8234.7142
99.0,8367.7215
100.0,8501.7846
101.0,8636.913
102.0,8773.1163
103.0,8910.4041
104.0,9048.7861
105.0,9188.2725
106.0,9328.8732
107.0,9470.5984
108.0,9613.4584
109.0,9757.4638
110.0,9902.625
111.0,10048.953
112.0,10196.458
113.0,10345.151
114.0,10495.044
115.0,10646.147
116.0,10798.472
117.0,10952.03
118.0,11106.832
119.0,11262.89
120.0,11420.216
121.0,11578.822
122.0,11738.719
123.0,11899.92
124.0,12062.436
125.0,12226.28
126.0,12391.464
127.0,12558.0
128.0,12725.901
129.0,12895.18
130.0,13065.85
131.0,13237.922
132.0,13411.411
133.0,13586.328
134.0,13762.688
135.0,13940.503
136.0,14119.788
137.0,14300.554
138.0,14482.816
139.0,14666.588
140.0,14851.883
141.0,15038.716
142.0,15227.099
143.0,15417.048
144.0,15608.576
145.0,15801.697
146.0,15996.427
147.0,16192.78
148.0,16390.77
149.0,16590.412
150.0,16791.721
151.0,16994.712
152.0,17199.4
153.0,17405.8
154.0,17613.928
155.0,17823.799
156.0,18035.429
157.0,18248.833
158.0,18464.027
159.0,18681.027
160.0,18899.849
161.0,19120.509
162.0,19343.024
163.0,19567.41
164.0,19793.684
165.0,20021.862
166.0,20251.961
167.0,20483.998
168.0,20717.99
169.0,20953.955
170.0,21191.909
171.0,21431.87
172.0,21673.856
173.0,21917.885
174.0,22163.974
175.0,22412.141
176.0,22662.405
177.0,22914.784
178.0,23169.297
179.0,23425.961
180.0,23684.796
181.0,23945.821
182.0,24209.054
183.0,24474.516
184.0,24742.224
185.0,25012.199
186.0,25284.461
187.0,25559.029
